Brain Region,Brain Area,Target,Method,Submethod,Model,Effect,Wake effectiveness,NREM effectiveness,REM effectiveness,Manipulation duration ( in relation to effectiveness),Rodent,Strain,Sex,Age,Sleep target,Target maturation timeline,Cognitive side effects,Metabolic side effects,Other effects,Reference,Author,Year,link,Impact factor at publication 
,,,Genetic,CRISPR (triple),Global KO of Nr3a gene,"Decreased sleep duration (approx. -1,55h). Wakefulness stabilized due to decreased transitions from awake to sleep states. ","13,14%",,,24,Mice,Nr3a-/-,N/D,Adult,Both,Embryo. Sleepscoring from 6-7 weeks,,,"adult Nr3a KO mice were reported to have increased pain sensation and enhanced abilities in learning and memory tasks (Mohamad et al., 2013). ","Sunagawa, G. (2016)",Sunagawa,2016,https://pubmed.ncbi.nlm.nih.gov/26774482/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,Whole body deletion of Erk1,Significantly increased duration of wakefulness in both,,,,,Mice,Erk1-/-,,Adult,Both,"Adult, 9-10 weeks",,,"After SD, wakefuless was increased and NREM decreased","Mikhail, C (2017)",Mikhail,2017,https://pubmed.ncbi.nlm.nih.gov/28119463/,
Forebrain,Cortex,Cortex,Genetic,Gene casette,neuro-specific deletion of Erk2,Significantly increased duration of wakefulness and significant decrease in  NREM sleep.,,,,,Mice,Conditional Erk2-/-,,Adult,NREM,"Adult, 9-10 weeks",,,"After SD, wakefuless was increased and NREM decreased","Mikhail, C (2017)",Mikhail,2017,https://pubmed.ncbi.nlm.nih.gov/28119463/,
Forebrain,Cortex,Cortex,Lesion,Temporary,Inhibition of ERK phosphorylation,"Increased wakefulness bout duration (mainly DP), +100min. Sig. decreased NREM, -100min. REM decreased. Sleep halved.",,,,,Mice,C57BL/6J,,Adult,NREM,"Adult, 9-10 weeks",,"Increased locomotion, twofold+","After SD, NREM decreased by 1h. Phosphorylation reduced by 29.30% total, ERK2 by 37.85%. Delta power increased","Mikhail, C (2017)",Mikhail,2017,https://pubmed.ncbi.nlm.nih.gov/28119463/,
Forebrain,Hypothalamus,TMN,Pharmacologic,Orexin,Selective activation (AL-OXB) of OXR2 in orexin KO mice by ICV,Increased wake time and bout duration. Reduced wake-NREM sleep transition frequency. Did not induce reward pathway in comparison to orexin-A.,"4,71 %","-1,25 %","-24,15 %",12,Mice,Hcrt?/?,Male,Adult,NREM,"Adult, 8-16 weeks",Stress during continous,,"Ameloriate narcolepsy symptoms. Continious ICV injection make it last for 12h, decrease during dark phase. Didn't trigger reward pathways, less chance of addiction.","Yamamoto, H. (2022)",Yamamoto,2022,https://pubmed.ncbi.nlm.nih.gov/35867683/,
Brainstem,Pons,LC,Pharmacologic,Orexin,Activation of orexin neurons using orexin-A in orexin KO mice,"Increased wake time and wake bout duration 3h after injection, reduced wake-NREM transition frequency. REM also suppressed (not sig)","12,28 %","-6,31 %","-29,42 %",12,Mice,Hcrt?/?,Male,Adult,NREM,"Adult, 8-16 weeks",Stress during continous,,"Ameloriate narcolepsy symptoms. Continious ICV injection make it last for 12h, decrease during dark phase. Did trigger reward pathways - more chance of addiction","Yamamoto, H. (2022)",Yamamoto,2022,https://pubmed.ncbi.nlm.nih.gov/35867683/,
Forebrain,Hypothalamus,PVH,Optogenetics (Cre),SSFO,Activation of PVH arginine vasopressin neurons (SSFO),"Immediate wakefulness from both NREM+REM, last 20-30min. Induced transitions to wake from NREM+REM.",,,,,Mice,Hemizygous Avp-Cre,Male,Adult,Both,"Adult, 12-28 weeks. 19-36g at surgery",Self-grooming during induced,,SSFO high specificity and efficency. Some leaked expression of SSFO to neighbouring nuclei,"Islam, M. T. (2022)",Islam,2022,https://pubmed.ncbi.nlm.nih.gov/35907397/,
Forebrain,Hypothalamus,PVH,Chemogenetic (Cre),hM3Dq,Activation of PVH arginine vasopressin neurons,"Increased time spent in wakefulness (+148,3%) and reduced NREM+REM (-45.9% and -59.2%)","148,30 %","-45,90 %","-59,20 %",2,Mice,Hemizygous Avp-Cre,Male,Adult,Both,"Adult, 12-28 weeks. 19-36g at surgery",,,Sleep quality not changed after activation. Lasted for approx 7h. Activation ncreased number of c-fos-pos LHox,"Islam, M. T. (2022)",Islam,2022,https://pubmed.ncbi.nlm.nih.gov/35907397/,
Forebrain,Hypothalamus,LH,Optogenetics,SSFO,Activation of PVH AVP projection neuronal fibers in LH,Induced awakefulness for ~25min. Rapidly induced transitions to wakefulness from both NREM+REM,,,,,Mice,Hemizygous Avp-Cre,Male,Adult,Both,"Adult, 12-28 weeks. 19-36g at surgery",,,Orexin receptor antagonist suvorexant during activation drastically shortened duration of induced wake,"Islam, M. T. (2022)",Islam,2022,https://pubmed.ncbi.nlm.nih.gov/35907397/,
Forebrain,Hypothalamus,PVH,Pharmacologic (Cre),Receptor agonist,Administration of melanotan-II (melanocortin receptor agonist),"Significantly increased wakefulness and reduced NREM+REM(-44.7 and -86.1%). During 3h, wake increased +164.1%","164,10 %","-44,70 %","-86,80 %",3,Mice,Avp-Cre;Ai14,Male,Adult,Both,"Adult, 12-28 weeks. 19-36g at surgery",,,Sleep quality not altered after administration.,"Islam, M. T. (2022)",Islam,2022,https://pubmed.ncbi.nlm.nih.gov/35907397/,
Brainstem,Pons,LC,Genetic,Gene casette,Tfa2b+/- mice,"Female show increased wakefulness and NREM sleep decreased, mainly during DP",,,,,Mice,Tfap2b+/-,Both,Adult,NREM,"Recording from 10-13 weeks, adult",,,Decreased delta power during NREM sleep. Male exhibited a slight increase in EEG power during NREM.,"Nakai, A. (2020)",Nakai,2020,https://pubmed.ncbi.nlm.nih.gov/32878901/,
Brainstem,Pons,LC,Genetic,CRISPR,Generate Tfap2b mutant mouse strain,K114/K144 male reduced NREMS time (esp DP) and episode of wake was significantly increased,,,,,Mice,Tfap2bK144/+,Male,Adult,NREM,"Recording from 10-13 weeks, adult",,,,"Nakai, A. (2020)",Nakai,2020,https://pubmed.ncbi.nlm.nih.gov/32878901/,
Brainstem,Pons,LC,Genetic,CRISPR,Generate Tfap2b mutant mouse strain,"K145/+ female episode number incr. and duration decr, of NREM during LP. Episode numbers of wake and REM also increased.",,,,,Mice,Tfap2bK145/+,Female,Adult,NREM,"Recording from 10-13 weeks, adult",,,,"Nakai, A. (2020)",Nakai,2020,https://pubmed.ncbi.nlm.nih.gov/32878901/,
Brainstem,Pons,LC,Genetic,Gene casette,Tfap2b deleted in nervous system during development,"Increased wakefulness and decreased NREM sleep (episode number, esp LP). Circadian rytm deficits",,,,,Mice,Tfap2B cKD (Nes-Cre; Tfap2bflox/flox),Male,Adult,NREM,"Adult, 10-13 weeks for analysis",,lower BW,Increase in EEG power during wakefulness,"Nakai, A. (2024)",Nakai,2024,https://pubmed.ncbi.nlm.nih.gov/38413970/,
Forebrain,Hypothalamus,PVH,Genetic,Gene casette,Tfap2b deleted postnatally by administrating tamoxifen,"Decreased NREM sleep and increased wakefulness, esp during DP.",,,,,Mice,Syn1CreERT2;Tfap2bflox/flox,Male,Postnatal,NREM,"Postnatal, P14-P21",,,Exhibit normal response to SD,"Nakai, A. (2024)",Nakai,2024,https://pubmed.ncbi.nlm.nih.gov/38413970/,
Brainstem,Pons,DRN,Lesion,Permanent,central 5-HT neuron ablation in mice using diphteria toxin + receptors,"Decreased REM duration (-24.7%), fewer transitions from NREM-REM (-34.7%). Attenuated wake respnse to novel environment",,,"-24,70 %",24,Mice,Pet1Cre/+; Rosa-DTR-tdTomato,Male,Adult,REM,"Adult, 2.7-5.5 months",,Reduced BW,Increased theta power during wake. Decreased NREM sleep episode duration during DP.,"Iwasaki, K. (2018)",Iwasaki,2018,https://pubmed.ncbi.nlm.nih.gov/30131671/,
Forebrain,Cortex,Cortex,Genetic - CRISPR (disclaimer),CRISPR,Specific mutations at S551 site in SIK3 gene (S551A/D),"Increased sleep need; increased NREMS amount and longer episodes, reduced wake. Hypersomnia, sleepy during day",,,,,Mice,Sik3S551A/+ and Sik3S551D/+,Male,Adult,NREM,"Adult, unspecified",,,"Elevated delta power during NREMS. S551A also a little less REM, increased low-frequency during wake","Honda, T (2018)",Honda,2018,https://pubmed.ncbi.nlm.nih.gov/30254177/,
Brainstem,,,Genetic,Breeding,GLUT1 deficency syndrome mouse model using ENU i.p.,"Longer wake times, shorter NREMS time.","4,15 %","-1,45 %","-18,26 %",24,Mice,Glut1Rgsc200+/-,Male,Adult,NREM,"Adult, 8-16 weeks",Contextual learning deficits,"Reduced BW, glucose transport reduced, glucose metabolism increased, increased locomotion","Homozygous are embryonic lethal. Decreased CBS fluid glucose value, convulsize seizures","Furose, T. (2019)",Furose,2019,https://pubmed.ncbi.nlm.nih.gov/31399478/,
Brainstem,Midbrain,IP,Genetic,Breeding,Loss of Gscl gene homologous recombinition using ES cells,Reduced REMS time and fewer REMS episodes. REM sleep latency increased. Slight increase in total NREM. Less NREM-REM transitions,"-4,45 %","8,89 %","-23,40 %",24,Mice,Gscl-/-,Male,Adult,REM,"Adult, 14-16 weeks",No,,Also lacked expression of Dgcr14 in IP. Reduced theta power during REMS and increased arousability during REMS. Reduced REMS rebound,"Funato, H. (2010)",Funato,2010,https://pubmed.ncbi.nlm.nih.gov/20921407/,
Forebrain,Hypothalamus,SCN,Genetic,Gene casette,Knock-out of MEf2D gene,"Altered circadian rythm, with the sleep-cycle happened later during the day. . Fragmented sleep, sig. shorter REM latency. More transitions wake<->NREM.",,,,,Mice,Mef2d-/-,Male,Adult,Both,"Adult, 8-12 weeks",No,Fragmented activity on wheel,delayed activity onset (~25min) than WT and longer free-running period during dark(+40min). Also fragmented activity in comparison to WT. Clock gene expression normal.,"Mohawk, J. (2019)",Mohawk,2019,https://pubmed.ncbi.nlm.nih.gov/31420455/,
Forebrain,Hypothalamus,LH,Genetic,HR,Overexpression of orexin in transgenic mice line,Fragmentation+reduced REM duration and latency.NREM decrease. Increase wake. incomplete REM sleep atonia,,,,,Mice,CAG/orexin transgenic,Both,Adult,Both,4 weeks??,,,,"Willie, J. (2011)",Willie,2011,https://pubmed.ncbi.nlm.nih.gov/20711757/,
Forebrain,Basal Forebrain,LS,Chemogenetic,hM4Di,Inhibiting LS GABAergic neurons (bipolar disorder mouse model),Reduced sleep and heightened arousal. ,,,,,Mice,VGaT-IRES-Cre,Male,Adult,Both,"Adult, 8 weeks",less anxiety,Increased locomotion,Increased irritable behaviour.,"Zhou, Y. (2025)",Zhou,2025,https://pubmed.ncbi.nlm.nih.gov/41107226/,
Forebrain,Basal Forebrain,LS,Lesion,Permanent,Ablation of LS GABAergic neurons using casp3,"Significant  increase in arousal and reduction in sleep. Sig. increase in wake and NREM episodes, while REM episodes decreased. Increase in NREM to wake and wake to NREM transition.",,,,,Mice,VGaT-IRES-Cre,Male,Adult,Both,"Adult, 8 weeks",less anxiety,Increased locomotion,Took longer to enter NREM after 6 hours of SD. Increased irritable behaviour.,"Zhou, Y. (2025)",Zhou,2025,https://pubmed.ncbi.nlm.nih.gov/41107226/,
Forebrain,Cortex,mPFC,Chemogenetic,hM3Dq,Activation of excitatory neurons in mPFC,Increased wakefulness duration.,,,,,Mice,Cam2ka-Cre,Male,Adult,Both,"Adult, p70-p120",,,,"Honjoh, S. (2025)",Honjoh,2025,https://pubmed.ncbi.nlm.nih.gov/41109628/,
,,,Mechanical,Behavioural,6 hour sleep deprivation by introducing novel objects and cage change,"Increased wakefulness. Increased gamma and theta frequency in EEG, delta reduced. Cortical activation.",,,,,Mice,N/D,Male,Adult,Both,"Adult, p70-p120",,Increased locomotion,Increased sleep pressure.,"Honjoh, S. (2025)",Honjoh,2025,https://pubmed.ncbi.nlm.nih.gov/41109628/,
Brainstem,Pons,Astrocytes,Chemogenetic,hM3Dq,Activation of astrocytes in the pons,"Strongly suppressed REM sleeep due to increased episode numbers. Increased NREM sleep due to increased duration. Decreased transitions from wake to NREM, NREM to REM and REM to wake.",,,,,Mice,GFAP-Cre,Male,Adult,REM,"Adult, 3-6 months",,,Increased delta waves,"Kurogi, Y. (2025)",Kurogi,2024,https://pubmed.ncbi.nlm.nih.gov/39717113/,
Forebrain,Cortex,mPFC,Optogenetic,ChR2,Activation of cortical neurons during NREM and REM sleep,Always woke mice up from NREM and REM sleep. REM needed more light stimulation.,,,,,Mice,CamK2alfaChR2,Both,Adult,Both,"Adult, >P56",,,,"Mao, R. (2024)",Mao,2024,https://pubmed.ncbi.nlm.nih.gov/38812551/,
Forebrain,Cortex,PtA,Optogenetic,ChR2,Activation of cortical neurons during NREM and REM sleep,Always woke mice up from NREM and REM sleep. REM needed more light stimulation. More effective in PtA (less light stimulation needed),,,,,Mice,CamK2alfaChR2,Both,Adult,Both,"Adult, >P56",,,,"Mao, R. (2024)",Mao,2024,https://pubmed.ncbi.nlm.nih.gov/38812551/,
